,NAV Date,NAV Price
87,31/01/2023,1.0165
88,30/01/2023,1.0163
89,27/01/2023,1.0181
90,26/01/2023,1.0146
91,25/01/2023,1.0129
92,20/01/2023,1.0123
93,19/01/2023,1.0071
94,18/01/2023,1.0077
95,17/01/2023,1.0078
96,16/01/2023,1.0085
97,13/01/2023,1.0057
98,12/01/2023,1.0039
99,11/01/2023,1.0002
0,10/01/2023,0.9982
1,09/01/2023,0.9955
2,06/01/2023,0.9938
3,05/01/2023,0.9886
4,04/01/2023,0.9918
5,03/01/2023,0.994
6,30/12/2022,0.9988
7,29/12/2022,0.9967
8,28/12/2022,0.9966
9,27/12/2022,0.9946
10,23/12/2022,0.9942
11,22/12/2022,0.991
12,21/12/2022,0.9908
13,20/12/2022,0.9894
14,19/12/2022,0.996
15,16/12/2022,0.9955
16,15/12/2022,0.9914
17,14/12/2022,0.9979
18,13/12/2022,0.9986
19,12/12/2022,0.9926
20,09/12/2022,0.9917
21,08/12/2022,0.9865
22,07/12/2022,0.9865
23,06/12/2022,0.9897
24,05/12/2022,0.9913
25,02/12/2022,0.9939
26,01/12/2022,0.9973
27,30/11/2022,0.9976
28,29/11/2022,0.9968
29,28/11/2022,0.9963
30,27/11/2022,0.9963
31,26/11/2022,0.9963
32,25/11/2022,0.9963
33,24/11/2022,0.9959
34,23/11/2022,0.9896
35,22/11/2022,0.9883
36,21/11/2022,0.9882
37,20/11/2022,0.9921
38,19/11/2022,0.9921
39,18/11/2022,0.9921
40,17/11/2022,0.9921
41,16/11/2022,0.9969
42,15/11/2022,0.9958
43,14/11/2022,0.9986
44,13/11/2022,1.0031
45,12/11/2022,1.0031
46,11/11/2022,1.0031
47,10/11/2022,0.999
48,09/11/2022,0.9965
49,08/11/2022,0.9993
50,07/11/2022,1.0013
51,06/11/2022,0.9981
52,05/11/2022,0.9981
53,04/11/2022,0.9981
54,03/11/2022,0.9868
55,02/11/2022,0.9985
56,01/11/2022,0.9942
57,31/10/2022,0.9889
58,28/10/2022,0.9893
59,27/10/2022,0.9932
60,26/10/2022,0.9904
61,25/10/2022,0.9877
62,24/10/2022,0.9869
63,23/10/2022,0.9869
64,22/10/2022,0.9869
65,21/10/2022,0.9869
66,20/10/2022,0.9879
67,19/10/2022,0.9789
68,18/10/2022,0.9809
69,17/10/2022,0.9763
70,16/10/2022,0.9724
71,15/10/2022,0.9724
72,14/10/2022,0.9724
73,13/10/2022,0.9698
74,12/10/2022,0.9745
75,11/10/2022,0.9748
76,10/10/2022,0.9832
77,09/10/2022,0.9832
78,08/10/2022,0.9832
79,07/10/2022,0.9832
80,06/10/2022,0.9853
81,05/10/2022,0.9835
82,04/10/2022,0.9754
83,03/10/2022,0.9664
84,02/10/2022,0.9678
85,01/10/2022,0.9678
86,30/09/2022,0.9678
87,29/09/2022,0.9665
88,28/09/2022,0.9682
89,27/09/2022,0.9764
90,26/09/2022,0.9796
91,25/09/2022,0.9944
92,24/09/2022,0.9944
93,23/09/2022,0.9944
94,22/09/2022,1.0022
95,21/09/2022,1.0016
96,20/09/2022,1.0028
97,19/09/2022,1.0001
98,18/09/2022,1.006
99,17/09/2022,1.006
0,16/09/2022,1.006
1,15/09/2022,1.006
2,14/09/2022,1.0049
3,13/09/2022,1.0078
4,12/09/2022,1.0122
5,11/09/2022,1.006
6,10/09/2022,1.006
7,09/09/2022,1.006
8,08/09/2022,1.0005
9,07/09/2022,1.0031
10,06/09/2022,1.0035
11,05/09/2022,0.9991
12,04/09/2022,0.9976
13,03/09/2022,0.9976
14,02/09/2022,0.9976
15,01/09/2022,0.9972
16,30/08/2022,1.0034
17,29/08/2022,1.0027
18,28/08/2022,1.0037
