,NAV Date,NAV Price
91,07/09/2014,0.2678
92,06/09/2014,0.2678
93,05/09/2014,0.2678
94,04/09/2014,0.2649
95,03/09/2014,0.2661
96,02/09/2014,0.2663
97,01/09/2014,0.2692
98,31/08/2014,0.2692
99,30/08/2014,0.2692
0,29/08/2014,0.2692
1,28/08/2014,0.269
2,27/08/2014,0.2696
3,26/08/2014,0.2697
4,25/08/2014,0.2699
5,24/08/2014,0.2708
6,23/08/2014,0.2708
7,22/08/2014,0.2708
8,21/08/2014,0.2697
9,20/08/2014,0.2686
10,19/08/2014,0.2707
11,18/08/2014,0.2713
12,17/08/2014,0.2705
13,16/08/2014,0.2705
14,15/08/2014,0.2705
15,14/08/2014,0.2697
16,13/08/2014,0.2691
17,12/08/2014,0.2688
18,11/08/2014,0.2694
19,10/08/2014,0.2684
20,09/08/2014,0.2684
21,08/08/2014,0.2684
22,07/08/2014,0.2704
23,06/08/2014,0.2706
24,05/08/2014,0.2714
25,04/08/2014,0.2695
26,03/08/2014,0.2692
27,02/08/2014,0.2692
28,01/08/2014,0.2692
29,31/07/2014,0.2706
30,30/07/2014,0.2709
31,29/07/2014,0.2712
32,28/07/2014,0.2712
33,27/07/2014,0.2712
34,26/07/2014,0.2712
35,25/07/2014,0.2712
36,24/07/2014,0.2706
37,23/07/2014,0.2704
38,22/07/2014,0.272
39,21/07/2014,0.2703
40,20/07/2014,0.2714
41,19/07/2014,0.2714
42,18/07/2014,0.2714
43,17/07/2014,0.2725
44,16/07/2014,0.2756
45,15/07/2014,0.2744
46,14/07/2014,0.2744
47,13/07/2014,0.2753
48,12/07/2014,0.2753
49,11/07/2014,0.2753
50,10/07/2014,0.2775
51,09/07/2014,0.2763
52,08/07/2014,0.2741
53,07/07/2014,0.2744
54,06/07/2014,0.2725
55,05/07/2014,0.2725
56,04/07/2014,0.2725
57,03/07/2014,0.2708
58,02/07/2014,0.2701
59,01/07/2014,0.2694
60,30/06/2014,0.2687
61,29/06/2014,0.2681
62,28/06/2014,0.2681
63,27/06/2014,0.2681
64,26/06/2014,0.2686
65,25/06/2014,0.2687
66,24/06/2014,0.2704
67,23/06/2014,0.2701
68,22/06/2014,0.2705
69,21/06/2014,0.2705
70,20/06/2014,0.2705
71,19/06/2014,0.2703
72,18/06/2014,0.2693
73,17/06/2014,0.2702
74,16/06/2014,0.2704
75,15/06/2014,0.2834
76,14/06/2014,0.2707
77,13/06/2014,0.2834
78,12/06/2014,0.2815
79,11/06/2014,0.2821
80,10/06/2014,0.2809
81,09/06/2014,0.2814
82,08/06/2014,0.2825
83,07/06/2014,0.2825
84,06/06/2014,0.2825
85,05/06/2014,0.2817
86,04/06/2014,0.2821
87,03/06/2014,0.2817
88,02/06/2014,0.2807
89,01/06/2014,0.2784
90,31/05/2014,0.2784
91,30/05/2014,0.2784
92,29/05/2014,0.2787
93,28/05/2014,0.2776
94,27/05/2014,0.2788
95,26/05/2014,0.2787
96,25/05/2014,0.2799
97,24/05/2014,0.2799
98,23/05/2014,0.2799
99,22/05/2014,0.28
0,21/05/2014,0.2803
1,20/05/2014,0.2812
2,19/05/2014,0.2825
3,18/05/2014,0.2823
4,17/05/2014,0.2823
5,16/05/2014,0.2823
6,15/05/2014,0.2827
7,14/05/2014,0.2843
8,13/05/2014,0.2815
9,12/05/2014,0.2815
10,11/05/2014,0.2802
